Mean ,SD,Variance,Kurtosis,Median,Mode,sum,Skewness ,max,min,range,RMS, Impulse Factor,Shape factor,k factor,Std error,count,condition 
0.006871,0.561127,0.314863,10.617709,0.005665,-0.016603,82.456669,0.157152,4.793474,-4.197325,8.990799,0.561145,697.598968,81.664011,2.689835,0.005122,12000,C
0.00894,0.540349,0.291977,9.318766,0.015394,0.057321,107.27824,0.104858,4.397108,-3.869152,8.26626,0.5404,491.854608,60.448443,2.376198,0.004933,12000,C
0.01007,0.535434,0.28669,13.510685,0.016405,-0.019049,120.842331,0.122348,4.375746,-4.685686,9.061432,0.535507,434.52445,53.177403,2.343241,0.004888,12000,C
0.009789,0.53594,0.287231,9.320573,0.017685,-0.021651,117.470097,0.185819,4.711535,-3.816728,8.528263,0.536007,481.300521,54.755064,2.525415,0.004892,12000,C
0.012005,0.502021,0.252025,12.833683,0.017179,-0.046736,144.064514,0.088689,4.525461,-4.90175,9.427212,0.502144,376.952897,41.826584,2.272433,0.004583,12000,C
0.010406,0.508541,0.258614,11.201833,0.016286,-0.054159,124.874242,0.090314,4.417221,-3.940499,8.35772,0.508626,424.480261,48.877277,2.246714,0.004642,12000,C
0.010728,0.467697,0.21874,9.13092,0.018875,-0.000374,128.740193,-0.101573,3.535112,-4.592441,8.127553,0.4678,329.511267,43.604108,1.653726,0.004269,12000,C
0.009352,0.464415,0.215681,8.058563,0.012597,-0.060409,112.226892,-0.003329,4.470597,-3.409413,7.88001,0.46449,478.024175,49.666157,2.076547,0.00424,12000,C
0.010661,0.45341,0.205581,8.020421,0.010812,-0.011159,127.930859,0.017474,4.927956,-3.514976,8.442932,0.453517,462.245588,42.540182,2.234911,0.004139,12000,C
0.008515,0.466087,0.217237,11.083177,0.014234,-0.012008,102.1813,-0.013404,5.784954,-4.475156,10.26011,0.466145,679.375251,54.743325,2.696629,0.004255,12000,C
0.009967,0.432451,0.187014,7.971126,0.015989,0.050541,119.608961,-0.122184,4.465658,-3.635474,8.101133,0.432548,448.025798,43.396241,1.931613,0.003948,12000,C
0.00876,0.422478,0.178488,5.613456,0.011526,0.114794,105.121048,-0.122606,2.829675,-3.271182,6.100857,0.422552,323.019016,48.236002,1.195684,0.003857,12000,C
0.009678,0.375383,0.140913,3.309289,0.012954,-0.004168,116.133247,-0.126928,1.53198,-1.571349,3.103329,0.375493,158.29883,38.799484,0.575247,0.003427,12000,C
0.010376,0.372831,0.139003,3.363476,0.015364,0.016561,124.509355,-0.085131,1.419812,-1.733561,3.153373,0.37296,136.839065,35.945216,0.529533,0.003403,12000,C
0.011706,0.370225,0.137067,3.437561,0.014144,-0.000698,140.473479,-0.135476,1.526267,-1.688396,3.214663,0.370395,130.381955,31.641117,0.565321,0.00338,12000,C
0.010169,0.367621,0.135145,3.22499,0.016108,-0.003019,122.030595,-0.106252,1.425941,-1.460847,2.886788,0.367746,140.221331,36.162706,0.524385,0.003356,12000,C
0.010006,0.369619,0.136618,3.452464,0.012657,0.047232,120.069176,-0.096656,1.741201,-1.680958,3.422159,0.369739,174.019778,36.952586,0.64379,0.003374,12000,C
0.009298,0.371924,0.138327,3.525568,0.013133,0.060516,111.579057,-0.129051,1.511272,-1.748854,3.260126,0.372025,162.532853,40.010172,0.562231,0.003395,12000,C
0.008838,0.364719,0.13302,3.362201,0.006855,-0.026541,106.056295,-0.049237,1.507999,-1.722612,3.230611,0.364811,170.626257,41.277404,0.550134,0.003329,12000,C
0.007793,0.362894,0.131692,3.464521,0.013638,0.060182,93.521411,-0.151251,1.449327,-1.819249,3.268575,0.362962,185.967255,46.572741,0.526051,0.003313,12000,C
0.00773,0.372409,0.138689,3.570998,0.011377,0.037147,92.76105,-0.131622,1.380955,-2.021091,3.402046,0.372474,178.646736,48.184984,0.51437,0.0034,12000,C
0.008436,0.370914,0.137577,3.698956,0.007747,-0.003844,101.230938,-0.118794,1.681993,-1.793959,3.475952,0.370994,199.384858,43.977947,0.624009,0.003386,12000,C
0.008575,0.377768,0.142709,3.876974,0.016763,0.015642,102.900483,-0.202508,1.829329,-1.988958,3.818287,0.37785,213.331773,44.063879,0.691211,0.003449,12000,C
0.008613,0.372376,0.138664,3.571745,0.013222,0.035703,103.357663,-0.12553,1.602018,-1.840433,3.44245,0.37246,185.99697,43.24322,0.596687,0.003399,12000,C
0.008565,0.366451,0.134286,3.39283,0.00861,-0.008515,102.777604,-0.080103,1.5969,-1.855606,3.452507,0.366536,186.449205,42.795574,0.585321,0.003345,12000,C
0.009375,0.364109,0.132575,3.305046,0.013758,0.160339,112.497166,-0.08479,1.603743,-1.960217,3.56396,0.364214,171.070266,38.850492,0.584106,0.003324,12000,C
